frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
20.00,-7.72,-10.45,-7.74,-10.47,6.00,-1.72,-1.74,2.73
20.20,-7.65,-10.37,-7.65,-10.36,6.00,-1.65,-1.65,2.72
20.40,-7.56,-10.26,-7.55,-10.25,6.00,-1.56,-1.55,2.70
20.61,-7.45,-10.14,-7.44,-10.12,6.00,-1.45,-1.44,2.69
20.81,-7.29,-9.96,-7.30,-9.97,6.00,-1.29,-1.30,2.67
21.02,-7.15,-9.81,-7.17,-9.82,6.00,-1.15,-1.17,2.66
21.23,-7.04,-9.68,-7.03,-9.67,6.00,-1.04,-1.03,2.64
21.44,-6.90,-9.53,-6.90,-9.53,6.00,-0.90,-0.90,2.63
21.66,-6.77,-9.38,-6.77,-9.38,6.00,-0.77,-0.77,2.61
21.87,-6.62,-9.22,-6.63,-9.23,6.00,-0.62,-0.63,2.60
22.09,-6.50,-9.08,-6.49,-9.08,6.00,-0.50,-0.49,2.58
22.31,-6.36,-8.93,-6.36,-8.93,6.00,-0.36,-0.36,2.57
22.54,-6.23,-8.79,-6.24,-8.79,6.00,-0.23,-0.24,2.56
22.76,-6.11,-8.65,-6.10,-8.64,6.00,-0.11,-0.10,2.54
22.99,-5.96,-8.49,-5.97,-8.50,6.00,0.04,0.03,2.53
23.22,-5.83,-8.35,-5.84,-8.36,6.00,0.17,0.16,2.53
23.45,-5.71,-8.24,-5.70,-8.23,6.00,0.29,0.30,2.53
23.69,-5.57,-8.10,-5.57,-8.10,6.00,0.43,0.43,2.53
23.92,-5.43,-7.96,-5.44,-7.97,6.00,0.57,0.56,2.53
24.16,-5.31,-7.84,-5.30,-7.83,6.00,0.69,0.70,2.53
24.40,-5.17,-7.69,-5.18,-7.70,6.00,0.83,0.82,2.52
24.65,-5.04,-7.55,-5.05,-7.56,6.00,0.96,0.95,2.52
24.89,-4.92,-7.43,-4.91,-7.42,6.00,1.08,1.09,2.51
25.14,-4.77,-7.27,-4.78,-7.28,6.00,1.23,1.22,2.50
25.39,-4.63,-7.12,-4.64,-7.13,6.00,1.37,1.36,2.49
25.65,-4.53,-6.99,-4.51,-6.99,6.00,1.47,1.49,2.47
25.91,-4.39,-6.85,-4.39,-6.85,6.00,1.61,1.61,2.46
26.16,-4.27,-6.72,-4.27,-6.72,6.01,1.74,1.74,2.45
26.43,-4.14,-6.59,-4.14,-6.59,6.02,1.88,1.88,2.45
26.69,-3.99,-6.45,-4.01,-6.46,6.02,2.03,2.02,2.46
26.96,-3.89,-6.34,-3.88,-6.34,6.02,2.13,2.14,2.46
27.23,-3.75,-6.22,-3.75,-6.22,6.00,2.25,2.25,2.47
27.50,-3.64,-6.12,-3.63,-6.11,5.97,2.33,2.34,2.49
27.77,-3.48,-5.98,-3.49,-5.99,5.92,2.44,2.42,2.50
28.05,-3.38,-5.89,-3.37,-5.88,5.85,2.47,2.48,2.51
28.33,-3.23,-5.75,-3.25,-5.76,5.77,2.53,2.52,2.52
28.62,-3.14,-5.66,-3.13,-5.65,5.66,2.53,2.53,2.52
28.90,-3.00,-5.53,-3.00,-5.53,5.55,2.54,2.55,2.53
29.19,-2.88,-5.41,-2.88,-5.41,5.43,2.54,2.54,2.53
29.48,-2.75,-5.28,-2.76,-5.29,5.30,2.54,2.54,2.53
29.78,-2.64,-5.16,-2.64,-5.17,5.17,2.54,2.53,2.53
