frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
20.00,-7.72,-6.65,-7.74,-6.66,5.96,-1.76,-1.77,-1.07
20.20,-7.65,-6.61,-7.65,-6.61,6.00,-1.65,-1.64,-1.04
20.40,-7.56,-6.55,-7.55,-6.53,6.03,-1.53,-1.52,-1.01
20.61,-7.45,-6.45,-7.44,-6.45,6.04,-1.41,-1.40,-0.99
20.81,-7.29,-6.33,-7.30,-6.34,6.03,-1.26,-1.27,-0.96
21.02,-7.15,-6.22,-7.17,-6.23,6.01,-1.15,-1.16,-0.93
21.23,-7.04,-6.12,-7.03,-6.11,5.97,-1.08,-1.07,-0.92
21.44,-6.90,-5.99,-6.90,-5.99,5.91,-1.00,-0.99,-0.91
21.66,-6.77,-5.86,-6.77,-5.86,5.83,-0.93,-0.94,-0.90
21.87,-6.62,-5.72,-6.63,-5.73,5.74,-0.89,-0.89,-0.90
22.09,-6.50,-5.61,-6.49,-5.60,5.62,-0.88,-0.87,-0.89
22.31,-6.36,-5.47,-6.36,-5.47,5.49,-0.87,-0.87,-0.89
22.54,-6.23,-5.33,-6.24,-5.34,5.36,-0.87,-0.88,-0.89
22.76,-6.11,-5.22,-6.10,-5.20,5.21,-0.90,-0.89,-0.89
22.99,-5.96,-5.06,-5.97,-5.07,5.07,-0.89,-0.90,-0.90
23.22,-5.83,-4.92,-5.84,-4.94,4.94,-0.89,-0.90,-0.90
23.45,-5.71,-4.81,-5.70,-4.80,4.81,-0.91,-0.89,-0.90
23.69,-5.57,-4.67,-5.57,-4.67,4.67,-0.89,-0.90,-0.90
23.92,-5.43,-4.53,-5.44,-4.54,4.54,-0.89,-0.90,-0.90
24.16,-5.31,-4.42,-5.30,-4.41,4.41,-0.91,-0.90,-0.89
24.40,-5.17,-4.28,-5.18,-4.28,4.27,-0.90,-0.90,-0.89
24.65,-5.04,-4.13,-5.05,-4.15,4.14,-0.89,-0.90,-0.90
24.89,-4.92,-4.02,-4.91,-4.01,4.01,-0.91,-0.90,-0.90
25.14,-4.77,-3.87,-4.78,-3.87,3.88,-0.90,-0.90,-0.90
25.39,-4.63,-3.73,-4.64,-3.74,3.74,-0.89,-0.90,-0.90
25.65,-4.53,-3.62,-4.51,-3.61,3.61,-0.91,-0.90,-0.90
25.91,-4.39,-3.48,-4.39,-3.49,3.48,-0.90,-0.91,-0.91
