frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
20.00,-6.77,-10.43,-6.79,-10.45,6.00,-0.77,-0.79,3.66
20.20,-6.74,-10.43,-6.72,-10.41,6.00,-0.74,-0.72,3.69
20.40,-6.66,-10.38,-6.64,-10.36,6.00,-0.66,-0.64,3.72
20.61,-6.55,-10.29,-6.56,-10.31,6.00,-0.55,-0.56,3.74
20.81,-6.45,-10.22,-6.46,-10.23,6.00,-0.45,-0.46,3.77
21.02,-6.37,-10.17,-6.36,-10.15,6.00,-0.37,-0.36,3.80
21.23,-6.27,-10.08,-6.27,-10.08,6.00,-0.27,-0.27,3.81
21.44,-6.16,-9.98,-6.17,-9.99,6.00,-0.16,-0.17,3.82
21.66,-6.08,-9.91,-6.07,-9.90,6.00,-0.08,-0.07,3.83
21.87,-5.98,-9.81,-5.98,-9.81,6.00,0.02,0.02,3.83
22.09,-5.88,-9.72,-5.88,-9.72,6.00,0.12,0.12,3.84
22.31,-5.77,-9.61,-5.77,-9.61,6.00,0.23,0.23,3.84
22.54,-5.67,-9.51,-5.67,-9.51,6.00,0.33,0.33,3.84
22.76,-5.57,-9.41,-5.57,-9.40,6.00,0.43,0.43,3.84
22.99,-5.46,-9.29,-5.46,-9.30,6.00,0.54,0.54,3.83
23.22,-5.36,-9.19,-5.36,-9.19,6.00,0.64,0.64,3.83
23.45,-5.26,-9.09,-5.25,-9.08,6.00,0.74,0.75,3.83
23.69,-5.15,-8.98,-5.15,-8.98,6.00,0.85,0.85,3.83
23.92,-5.05,-8.88,-5.06,-8.89,6.00,0.95,0.94,3.83
24.16,-4.97,-8.80,-4.96,-8.79,6.00,1.03,1.04,3.83
24.40,-4.87,-8.70,-4.86,-8.69,6.00,1.13,1.14,3.83
24.65,-4.76,-8.58,-4.76,-8.59,6.00,1.24,1.24,3.82
24.89,-4.66,-8.48,-4.66,-8.48,6.00,1.34,1.34,3.82
25.14,-4.56,-8.38,-4.55,-8.37,6.00,1.44,1.45,3.82
25.39,-4.45,-8.27,-4.45,-8.27,6.00,1.55,1.55,3.82
25.65,-4.35,-8.17,-4.36,-8.17,6.00,1.65,1.64,3.82
25.91,-4.27,-8.08,-4.26,-8.08,6.00,1.73,1.74,3.81
26.16,-4.17,-7.98,-4.17,-7.98,6.00,1.83,1.83,3.81
26.43,-4.06,-7.87,-4.07,-7.88,6.00,1.94,1.93,3.81
26.69,-3.96,-7.77,-3.96,-7.77,6.00,2.04,2.04,3.81
26.96,-3.86,-7.67,-3.86,-7.66,6.00,2.14,2.14,3.81
27.23,-3.75,-7.55,-3.75,-7.56,6.00,2.25,2.25,3.80
27.50,-3.65,-7.45,-3.65,-7.45,6.00,2.35,2.35,3.80
27.77,-3.55,-7.34,-3.54,-7.34,6.00,2.45,2.46,3.79
28.05,-3.44,-7.23,-3.44,-7.23,6.00,2.56,2.56,3.79
28.33,-3.34,-7.12,-3.34,-7.12,6.00,2.66,2.66,3.78
28.62,-3.24,-7.02,-3.24,-7.02,6.00,2.76,2.76,3.78
28.90,-3.13,-6.91,-3.13,-6.91,6.00,2.87,2.87,3.78
29.19,-3.03,-6.80,-3.03,-6.80,6.00,2.97,2.97,3.77
29.48,-2.93,-6.70,-2.93,-6.70,6.00,3.08,3.08,3.77
29.78,-2.83,-6.59,-2.83,-6.59,6.01,3.18,3.19,3.76
30.08,-2.72,-6.48,-2.72,-6.48,6.02,3.30,3.30,3.76
30.38,-2.62,-6.37,-2.62,-6.37,6.02,3.40,3.40,3.75
30.68,-2.52,-6.27,-2.52,-6.26,6.01,3.49,3.49,3.75
30.99,-2.41,-6.15,-2.41,-6.15,5.98,3.57,3.57,3.74
31.30,-2.31,-6.04,-2.31,-6.05,5.94,3.63,3.63,3.73
31.61,-2.21,-5.94,-2.21,-5.93,5.89,3.68,3.68,3.73
31.93,-2.10,-5.82,-2.10,-5.82,5.81,3.71,3.71,3.72
32.24,-2.00,-5.71,-2.00,-5.71,5.73,3.73,3.73,3.71
32.57,-1.90,-5.61,-1.90,-5.60,5.63,3.73,3.73,3.71
32.89,-1.79,-5.49,-1.80,-5.50,5.52,3.73,3.72,3.70
33.22,-1.71,-5.40,-1.70,-5.40,5.41,3.70,3.70,3.69
