frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
20.00,-6.77,-13.68,-6.79,-13.69,6.00,-0.77,-0.79,6.91
20.20,-6.74,-13.65,-6.72,-13.62,6.00,-0.74,-0.72,6.91
20.40,-6.66,-13.56,-6.64,-13.55,6.00,-0.66,-0.64,6.91
20.61,-6.55,-13.46,-6.56,-13.46,6.00,-0.55,-0.56,6.91
20.81,-6.45,-13.35,-6.46,-13.37,6.00,-0.45,-0.46,6.91
21.02,-6.37,-13.28,-6.36,-13.27,6.00,-0.37,-0.36,6.91
21.23,-6.27,-13.19,-6.27,-13.18,6.00,-0.27,-0.27,6.92
21.44,-6.16,-13.07,-6.17,-13.09,6.00,-0.16,-0.17,6.92
21.66,-6.08,-13.01,-6.07,-13.00,6.00,-0.08,-0.07,6.93
21.87,-5.98,-12.91,-5.98,-12.91,6.00,0.02,0.02,6.94
22.09,-5.88,-12.82,-5.88,-12.82,6.00,0.12,0.12,6.95
22.31,-5.77,-12.72,-5.77,-12.73,6.00,0.23,0.23,6.96
22.54,-5.67,-12.65,-5.67,-12.64,6.00,0.33,0.33,6.98
22.76,-5.57,-12.55,-5.57,-12.55,6.00,0.43,0.43,6.99
22.99,-5.46,-12.47,-5.46,-12.46,6.00,0.54,0.54,7.01
23.22,-5.36,-12.37,-5.36,-12.37,6.00,0.64,0.64,7.01
23.45,-5.26,-12.26,-5.25,-12.26,6.00,0.74,0.75,7.01
23.69,-5.15,-12.16,-5.15,-12.16,6.00,0.85,0.85,7.01
23.92,-5.05,-12.05,-5.06,-12.06,6.00,0.95,0.94,7.01
24.16,-4.97,-11.97,-4.96,-11.97,6.00,1.03,1.04,7.01
24.40,-4.87,-11.87,-4.86,-11.87,6.00,1.13,1.14,7.01
24.65,-4.76,-11.77,-4.76,-11.77,6.00,1.24,1.24,7.01
24.89,-4.66,-11.66,-4.66,-11.66,6.00,1.34,1.34,7.01
25.14,-4.56,-11.56,-4.55,-11.56,6.00,1.44,1.45,7.01
25.39,-4.45,-11.45,-4.45,-11.46,6.00,1.55,1.55,7.01
25.65,-4.35,-11.36,-4.36,-11.36,6.00,1.65,1.64,7.01
25.91,-4.27,-11.28,-4.26,-11.27,6.00,1.73,1.74,7.01
26.16,-4.17,-11.17,-4.17,-11.17,6.00,1.83,1.83,7.01
26.43,-4.06,-11.07,-4.07,-11.07,6.00,1.94,1.93,7.01
26.69,-3.96,-10.97,-3.96,-10.97,6.00,2.04,2.04,7.01
26.96,-3.86,-10.87,-3.86,-10.86,6.00,2.14,2.14,7.01
27.23,-3.75,-10.76,-3.75,-10.76,6.00,2.25,2.25,7.01
27.50,-3.65,-10.66,-3.65,-10.66,6.00,2.35,2.35,7.01
27.77,-3.55,-10.55,-3.54,-10.55,6.00,2.45,2.46,7.01
28.05,-3.44,-10.44,-3.44,-10.45,6.00,2.56,2.56,7.01
28.33,-3.34,-10.33,-3.34,-10.34,6.00,2.66,2.66,7.00
28.62,-3.24,-10.23,-3.24,-10.22,6.00,2.76,2.76,6.99
28.90,-3.13,-10.09,-3.13,-10.10,6.00,2.87,2.87,6.97
29.19,-3.03,-9.99,-3.03,-9.99,6.00,2.97,2.97,6.96
29.48,-2.93,-9.87,-2.93,-9.87,6.00,3.07,3.07,6.95
29.78,-2.83,-9.77,-2.83,-9.76,6.00,3.17,3.17,6.94
30.08,-2.72,-9.65,-2.72,-9.65,6.00,3.28,3.28,6.93
30.38,-2.62,-9.54,-2.62,-9.54,6.00,3.38,3.38,6.92
30.68,-2.52,-9.44,-2.52,-9.43,6.00,3.48,3.48,6.92
30.99,-2.41,-9.32,-2.41,-9.32,6.00,3.59,3.59,6.91
31.30,-2.31,-9.22,-2.31,-9.22,6.00,3.69,3.69,6.91
31.61,-2.21,-9.12,-2.21,-9.11,6.00,3.79,3.79,6.91
31.93,-2.10,-9.01,-2.10,-9.01,6.00,3.90,3.90,6.91
32.24,-2.00,-8.90,-2.00,-8.90,6.00,4.00,4.00,6.91
32.57,-1.90,-8.80,-1.90,-8.79,6.00,4.10,4.10,6.90
32.89,-1.79,-8.67,-1.80,-8.69,6.00,4.21,4.20,6.89
33.22,-1.71,-8.58,-1.70,-8.58,6.00,4.29,4.30,6.88
33.55,-1.61,-8.47,-1.60,-8.47,6.00,4.39,4.40,6.87
33.89,-1.51,-8.36,-1.51,-8.36,6.00,4.49,4.49,6.85
34.23,-1.40,-8.24,-1.41,-8.24,6.00,4.60,4.59,6.84
34.57,-1.32,-8.14,-1.31,-8.13,6.00,4.68,4.69,6.82
34.92,-1.22,-8.02,-1.22,-8.02,6.00,4.78,4.78,6.80
35.27,-1.12,-7.91,-1.12,-7.90,6.00,4.88,4.88,6.79
35.62,-1.01,-7.79,-1.02,-7.79,6.00,4.99,4.98,6.78
35.97,-0.93,-7.68,-0.92,-7.68,6.00,5.07,5.08,6.76
36.33,-0.83,-7.57,-0.82,-7.57,6.00,5.17,5.18,6.75
36.70,-0.72,-7.45,-0.73,-7.46,6.00,5.28,5.27,6.73
37.06,-0.64,-7.35,-0.63,-7.35,6.00,5.36,5.37,6.72
37.43,-0.54,-7.24,-0.54,-7.24,6.00,5.46,5.46,6.71
37.81,-0.44,-7.14,-0.45,-7.14,6.00,5.56,5.55,6.70
38.19,-0.36,-7.04,-0.35,-7.03,6.00,5.64,5.65,6.68
38.57,-0.25,-6.92,-0.25,-6.92,6.00,5.75,5.75,6.67
38.95,-0.15,-6.79,-0.16,-6.81,6.01,5.86,5.85,6.65
39.34,-0.07,-6.70,-0.06,-6.69,6.02,5.95,5.96,6.64
39.74,0.04,-6.58,0.04,-6.58,6.02,6.06,6.06,6.62
40.14,0.14,-6.46,0.14,-6.46,6.02,6.16,6.16,6.60
40.54,0.24,-6.32,0.24,-6.32,6.01,6.24,6.25,6.56
40.94,0.34,-6.18,0.34,-6.18,5.97,6.31,6.32,6.53
